path,label,source,dataset,domain,generator,split_hint,sample_weight,is_hard_negative,added_iter
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/004c5303-a7fa-4398-bf0d-c132a581f72d.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/00821f4f-b191-492e-b768-52612e6c9938.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/00a9c7f4-10fc-4a32-a609-76e7c6e9c1d6.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/012702d3-4ba3-493e-994b-f68db4324154.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/01d74ff1-97c0-4ab7-9fe6-4dd2e3fdf5c8.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/03dc3dee-9f7f-4fa3-b34c-e44cc9eb7ef0.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/0411d707-d30d-4247-8d6f-caf7df95fa30.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/0420772e-c69b-46c2-8d0e-d61153add1cf.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/0520b642-7b0d-430d-8344-d73cad47428f.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/054c4a56-64ec-4b66-809a-7348bc0f22bc.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/0592d774-e371-406d-9023-100439466f5f.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/0618c777-e661-4b6d-a2fc-2c00ff8787ee.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/06aaeede-af6c-461c-a375-279e85bbf906.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/06eab5b3-0c5e-472b-bcea-b1383bf611d7.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/07ab3020-3a20-4787-8719-11514c6bb466.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/08499751-4f0b-4094-b5bb-bc797c42d71a.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,base
