path,label,source,dataset,domain,generator,split_hint,sample_weight,is_hard_negative
G:\shixi\April\test\dataset_futuristic_city\images\00000_Playing_with_AI_image_generating__Neural_Networks__--_See_input_text_in_descript_49248c0f6632.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\dataset_futuristic_city\images\00001_Playing_with_AI_image_generating__Neural_Networks__--_See_input_text_in_descript_f7703f8e20e0.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\dataset_futuristic_city\images\00002_Playing_with_AI_image_generating__Neural_Networks__--_See_input_text_in_descript_d7c97abf2223.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\dataset_futuristic_city\images\00003_Playing_with_AI_image_generating__Neural_Networks__--_See_input_text_in_descript_32c55a15bc4e.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\dataset_futuristic_city\images\00004_Playing_with_AI_image_generating__Neural_Networks__--_See_input_text_in_descript_014bfa6e323c.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\1776911240309-k054r1.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\1776911250039-d6st61.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\1776911266532-9aib9z.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\45e12ea3-f4bd-4064-a1c1-dbb64e5c050d.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\80df12bf-ceb3-4c52-90d2-838e5f1f4e7f.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\81632741-8172-45c1-8a75-b1f3bca4b7df.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\apple-park-tim-cook-keynote.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月22日 14_41_13.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月22日 14_53_09.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月22日 15_10_35.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 09_40_48.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 09_42_20.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 09_44_27.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 09_47_34.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 09_51_39.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 10_20_59.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 10_24_54.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\ChatGPT Image 2026年4月24日 11_03_24.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\de181d96-b17c-4c90-aa39-31a9f0297658.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\gpt-image-2-vs-nano-banana-pro-4.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\model.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\OIF-C.jpg,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\sample.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\总体设计图.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\流程2.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\gpt image2\示意图.png,1,hard,collected,photo,gpt,hard,3.0,1
G:\shixi\April\test\page_images\images\00002_0ea1cdf826aa.jpg,1,hard,collected,photo,gpt,hard,3.0,1
